name,brand,model,sku,color,releaseDate
adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective),adidas,adidas Yeezy Boost 350 V2,4b68f73c-94d2-452e-b88a-8d350d1f5aa1,Cloud White/Cloud White/Cloud White,2019-09-21
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),adidas,adidas Yeezy Boost 350 V2,7f0d5482-19b2-4602-a4c0-cddc67b55928,Citrin/Citrin/Citrin,2019-09-23
adidas Yeezy Boost 350 V2 Cream/Triple White,adidas,adidas Yeezy Boost 350 V2,49c52f79-b1c5-4200-9792-b9d55f67a76f,Cream White/Cream White,2017-04-29
adidas NMD Hu Pharrell Solar Pack Mother,adidas,adidas NMD Hu,1035585c-6a73-4429-ae4b-0f72400b692a,White/Pink/Yellow,2018-08-18
adidas Yeezy Boost 700 V2 Hospital Blue,adidas,adidas Yeezy Boost 700 V2,623ba1d6-2078-4b35-b1cd-cb838720ea2a,Hospital Blue/Hospital Blue/Hospital Blue,2019-09-28
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,adidas,adidas Yeezy Boost 350 V2,d16d221d-f7f0-4f00-895c-0f4009abc223,Semi Frozen Yellow/Raw Steel/Red,2017-11-18
adidas Yeezy Boost 350 V2 Clay,adidas,adidas Yeezy Boost 350 V2,53b933ec-9b64-43a2-9d08-2a8bec05e364,Clay/Clay/Clay,2019-03-30
adidas Yeezy Boost 700 Wave Runner Solid Grey,adidas,adidas Yeezy Boost 700 Wave Runner,76beb63d-a3b1-4951-a44a-24eee806026e,Solid Grey/Chalk White/Core Black,2017-11-01
adidas Yeezy Boost 350 V2 Sesame,adidas,adidas Yeezy Boost 350 V2,3774e829-99f4-46d6-bb94-f9e19ad55ad3,Sesame/Sesame/Sesame,2018-11-23
adidas Yeezy Boost 350 V2 Zebra,adidas,adidas Yeezy Boost 350 V2,e90e1888-61f0-4681-8379-a4706e491235,White/Core Black/Red,2017-02-25
adidas Yeezy Boost 700 Inertia,adidas,adidas Yeezy Boost 700,a1f70377-2836-4ba7-b0a1-1ae2bba76bbb,Grey/Grey/Inertia,2019-03-09
adidas NMD HU Pharrell Human Made White Red,adidas,adidas NMD HU Pharrell,a8a128b2-61cb-4ec9-8d7d-ec06926beceb,White/White/Red,2019-09-25
adidas Yeezy Boost 350 V2 Static (Non-Reflective),adidas,adidas Yeezy Boost 350 V2,fcdd291b-cd65-4e82-b57f-4ca2b478e153,Static/Static/Static,2018-12-27
adidas Yeezy 500 Utility Black,adidas,adidas Yeezy 500,2331dbb6-81d0-409c-840c-3d813cc94194,Utility Black/Utility Black/Utility Black,2018-07-07
adidas Yeezy Boost 700 V2 Geode,adidas,adidas Yeezy Boost 700 V2,8d22e3b1-220d-48da-96e8-1a1d31e575b1,Geode/Geode/Geode,2019-03-23
adidas Yeezy Boost 350 V2 Butter,adidas,adidas Yeezy Boost 350 V2,a7754530-c667-41cf-86ca-5baba88ae428,Butter/Butter/Butter,2018-06-30
adidas Yeezy Boost 350 V2 Beluga 2.0,adidas,adidas Yeezy Boost 350 V2,7f8f68d3-d834-400e-beb1-0f4b5c004682,Grey/Bold Orange/Dark Grey,2017-11-25
adidas Ultra Boost 4.0 Running White,adidas,adidas Ultra Boost 4.0,6963143c-a53a-4235-ae3d-aa20231a43c1,Running White/Running White/Running White,2017-11-30
adidas Yeezy 700 Mauve,adidas,adidas Yeezy 700,097e25bc-18bf-4d14-bc1a-47705059ad9c,Mauve/Mauve/Mauve,2018-10-27
adidas Yeezy Boost 700 Analog,adidas,adidas Yeezy Boost 700,39511b50-d347-4102-9e6c-4415aac4d8a6,Analog/Analog/Analog,2019-04-27
adidas Yeezy Boost 700 V2 Tephra,adidas,adidas Yeezy Boost 700 V2,cbc6c68b-8e8f-4770-86ae-9b7f50beee88,Tephra/Tephra/Tephra,2019-06-15
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),adidas,adidas Yeezy Boost 350 V2,8772ba8e-bce6-4284-a622-5523b3a00b56,Antlia/Antlia/Antlia,2019-06-22
adidas Yeezy Boost 350 V2 Glow,adidas,adidas Yeezy Boost 350 V2,efbae46f-340b-4d77-88af-aa8dba033e71,Glow/Glow/Glow,2019-05-25
adidas Yeezy Boost 700 Utility Black,adidas,adidas Yeezy Boost 700,f9d2a19a-7214-473d-994e-635a5760ed75,Utility Black/Utility Black/Utility Black,2019-06-29
